id,category,text,label
51,Social_Eng,"Привет, мы соседи. Вас топит! Срочно перекройте воду. Вот фото течи: google-disk-fake-link",1
52,Social_Eng,"Привет! Я уволился, но у меня остались доступы к корпоративному облаку. Продам базы клиентов дешево.",1
53,TG_Phishing,"Telegram Security: Мы зафиксировали попытку входа из Индонезии. Подтвердите, что это вы, нажав 'Да' в системном сообщении.",1
54,Social_Eng,Вступай в VIP канал по сигналам. 100% проходимость. Первые 20 мест бесплатно.,1
55,Crypto_Phishing,Airdrop Alert: Получи 100 USDT за регистрацию на новой бирже. Ссылка:,1
56,IT_Malware,"Привет, не могу открыть твой файл с кодом. Посмотри, у меня Word выдает ошибку, я заскринил:",1
57,Social_Eng,"Мам, это я. Телефон разбился, пишу с чужого. Скинь денег на карту друга, срочно надо.",1
58,TG_Phishing,Ваш Telegram Premium истекает завтра. Продлите со скидкой 50% тут:,1
59,Social_Eng,"Смотри, нейросеть раздела твою знакомую на фото. Бот тут: @nudify_fake_bot",1
60,Crypto_Phishing,MetaMask: Требуется верификация KYC до 01.01.2025. Иначе средства будут заблокированы.,1
61,Financial_Phishing,"Бот техподдержки: Уважаемый клиент, замечена подозрительная активность по вашей карте. Для отмены транзакции перейдите в безопасный чат банка: @Sber_Support_Official_Fake",1
62,Financial_Phishing,Тинькофф Инвестиции: Вам начислен подарочный пакет акций на сумму 5000р. Активировать до полуночи:,1
63,Marketplace_Scam,Wildberries: Ваш заказ задерживается. Мы начислили компенсацию 1000р. Оформите возврат на карту:,1
64,Marketplace_Scam,"Авито: Покупатель оплатил товар с доставкой. Получите средства, нажав кнопку 'Получить' в нашем боте: @avito_delivery_pay_bot",1
65,Crypto_Scam,Инсайдерская информация! Завтра пампим монету #SCAMCOIN. Закупаем на всю котлету в 12:00 МСК. Ссылка на биржу: ...,1
66,Social_Eng,"Привет! Прости, что беспокою. Я волонтер, собираем деньги на операцию собаке, которую сбила машина. Скину фото и справки. Поможешь любой суммой?",1
67,TG_Phishing,Системное сообщение: Действие вашего аккаунта приостановлено. Причина: Нарушение условий использования. Обжаловать:,1
68,IT_Malware,"Привет! Я начинающий фрилансер, сделал портфолио. Можешь оценить дизайн сайта? Ссылка на фигму не работает, скинул HTML файлом:",1
69,Crypto_Drainer,Бесплатный минт NFT из коллекции Bored Ape! Осталось 50 штук. Минтить тут:,1
70,Social_Eng,"Слушай, у меня карта заблокировалась, а нужно срочно за интернет заплатить 500р. Кинь на этот номер, я завтра верну 1000.",1
71,Financial_Phishing,Госуслуги: Вам одобрена выплата 10 000 рублей по новому указу. Проверьте списки получателей:,1
72,IT_Malware,"Скачай этот чит на CS2, там вх и аим, вак не палит. Пароль от архива 111.",1
73,Work_Scam,"Требуется менеджер на удаленку. Задача: отвечать на сообщения. ЗП от 3000 в день. Обучение бесплатно, пишите менеджеру: @hr_manager_fake",1
74,Crypto_Scam,Привет! Я трейдер с 10-летним опытом. Возьму 3 человек на доверительное управление. Депозит от 100$. Гарантия прибыли.,1
75,Social_Eng,"Посмотри, тут про тебя гадости пишут в комментариях! Я в шоке. Ссылка:",1
76,Social_Eng,"Привет, узнал? Мы учились вместе. У меня новый аккаунт.",1
77,Crypto_Phishing,Ошибка подключения. Ваш Trust Wallet работает некорректно. Требуется повторная авторизация в dApp.,1
78,TG_Phishing,Вам предоставлен доступ к закрытому каналу 'Заработок от 100к'. Ссылка действительна 5 минут: [Join Channel],1
79,Social_Eng,"Продаю Айфон 14 Про, подарили, а мне не нужен. Новый, в пленке. Отдам за полцены, срочно нужны деньги. Пиши в лс.",1
80,IT_Malware,Срочно обнови Adobe Flash Player для просмотра этого видео.,1
81,Crypto_Scam,"Майнинг отель. Продаем оборудование Antminer S19. Размещение у нас, электричество 2р. Окупаемость 3 месяца.",1
82,Social_Eng,"Девушка, можно с вами познакомиться? Я фотограф, ищу модель типажа как вы. Вот примеры моих работ: (вирус)",1
83,Financial_Phishing,ФССП: На вас заведено исполнительное производство. Ваши счета будут арестованы. Узнать подробности:,1
84,Marketplace_Scam,CDEK: Курьер не застал вас дома. Оплатите повторную доставку (150 руб) по ссылке.,1
85,Work_Scam,Заработок на обратном выкупе товаров. Нужен депозит для старта.,1
86,Crypto_Scam,Биржа Binance закрывает регистрацию для россиян. Успейте вывести активы на нашу партнерскую биржу.,1
87,Social_Eng,"Привет! Я администратор канала, в котором вы выиграли рекламу. Для размещения пришлите пост и оплату гаранту.",1
88,IT_Malware,"Кряк для Photoshop 2024. Без вирусов, проверено. Ссылка на Яндекс.Диск: ...",1
89,TG_Phishing,"Ваш номер телефона был отвязан от аккаунта Telegram. Если это не вы, нажмите: [Отменить действие]",1
90,Social_Eng,"Слушай, можешь проголосовать за петицию против застройки парка? Очень важно! Нужно авторизоваться через телегу.",1
91,Crypto_Scam,Эксклюзивный пресейл токена Павла Дурова! Только 24 часа. Отправляйте TON на кошелек...,1
92,Financial_Phishing,Вам начислена компенсация за утечку персональных данных. Сумма: 25 000 руб. Получить: ...,1
93,Social_Eng,"Мам, я телефон потеряла, пишу с рабочего. Скинь 2000р на карту коллеги, я такси вызову и приеду.",1
94,IT_Malware,Скрипт для накрутки подписчиков в Инстаграм. Бесплатно.,1
95,Crypto_Phishing,Ledger: Обнаружена попытка взлома вашего устройства. Срочно перенесите средства на временный безопасный кошелек.,1
96,Social_Eng,"Привет! У тебя есть карта Сбера? Мне перевод должны скинуть, а у меня лимиты. Прими, а потом мне перекинешь, я 10% оставлю тебе.",1
97,TG_Phishing,"Администрация Telegram: Мы проводим проверку на ботов. Решите капчу, перейдя по ссылке, иначе бан.",1
98,Marketplace_Scam,Озон: Вы выиграли iPhone 15! Оплатите только таможенную пошлину 500 руб.,1
99,IT_Malware,"Драйвера для твоей видеокарты, оптимизированные для игр. FPS +30%.",1
100,Social_Eng,"Гадание на картах Таро. Первый расклад бесплатно, но нужна верификация возраста (фото паспорта).",1
101,General,Привет! Как дела? Мы сегодня собираемся в бар вечером?,0
102,General,"Ок, договорились. Буду в 19:00.",0
103,Work_IT,"Коллеги, доброе утро. Напоминаю, дейли митинг через 15 минут в Зуме.",0
104,Work_IT,"Слушай, а ты не помнишь, где лежит документация по API? Кинь ссылку на конфлюенс, плз.",0
105,Crypto_Legit,"Видел, что биток сегодня просел на 5%? Жесть, рынок красный.",0
106,General,"Мам, привет, я доехал, все нормально. Завтра позвоню.",0
107,Work_IT,"Я запушил ветку fix-auth-bug, можешь сделать код-ревью, когда освободишься?",0
108,General,"Скинь фотки со вчерашнего дня, хочу посмотреть.",0
109,Work_Files,"Отправляю презентацию для завтрашней встречи. Посмотрите слайд 5, там вопросы были.",0
110,Crypto_Legit,"Ты пользуешься Ledger или Trezor? Хочу холодный кошелек купить, выбираю.",0
111,General,"Не, сегодня не смогу, работы завал. Давай на выходных?",0
112,Work_IT,"Логи посмотрел, там ошибка 500. Похоже, база отвалилась. Сейчас админу напишу.",0
113,General,Спасибо большое! Выручил.,0
114,General,"Привет, с днем рождения! 🎉 Желаю всего самого крутого!",0
115,Work_IT,"Там новый релиз Питона вышел, 3.12. Читал ченджлог? Много интересного.",0
116,Crypto_Legit,"Ребят, кто-нибудь пробовал стейкинг на этой платформе? Вроде отзывы норм, но проценты маленькие.",0
117,General,"Перешли мне номер телефона доставки, пожалуйста.",0
118,Work_IT,"Скинь ссылку на репозиторий, я склонирую и гляну локально.",0
119,General,Голосовое сообщение (0:15),0
120,General,"Да, я видел. Прикольный мем 😂",0
121,Work_Files,"Вот договор, который юристы согласовали. Подпиши и отправь скан обратно.",0
122,Work_IT,"У меня Docker не собирается, какая-то ошибка с зависимостями. Ща скрин скину.",0
123,Crypto_Legit,TON Space добавили в основное меню. Удобно стало.,0
124,General,"Слушай, ты не знаешь, как в Экселе ВПР делать? Забыл формулу.",0
125,General,"Я в магазине, тебе что-нибудь взять?",0
126,Work_IT,"На прод не кати пока, там баг критичный нашли тестеровщики.",0
127,General,Доброй ночи! Завтра на связи.,0
128,Crypto_Legit,"Скинь адрес своего кошелька, я тебе тестовые токены переведу для проверки.",0
129,General,"А ты смотрел новый фильм Нолана? Говорят, шедевр.",0
130,Work_IT,Привет. Можешь дать доступ к аналитике в Google GA4? Почта myname@,0
131,General,"Оплатил интернет, чек в личке.",0
132,General,"Мы опаздываем минут на 10, пробки жуткие.",0
133,Work_Files,ТЗ на разработку,0
134,Work_IT,"Надо бы сертификаты SSL обновить, через неделю истекают. Поставь задачу в джиру.",0
135,General,"Привет, давно не виделись! Как жизнь молодая?",0
136,Crypto_Legit,"Не, я в щиткоины не лезу, слишком рискованно. Только ETH и BTC держу.",0
137,General,У тебя есть зарядка для айфона? Моя сломалась.,0
138,Work_IT,"Подключись к VPN, иначе внутренние ресурсы не откроются.",0
139,General,"Скинь геолокацию, не могу найти вход.",0
140,General,"Заказал пиццу, будет через 40 минут.",0
141,Work_IT,Какой пароль от тестового вайфая? Guest123 не подходит.,0
142,Crypto_Legit,Читал статью на Хабре про блокчейн? Там хорошо расписали про алгоритмы консенсуса.,0
143,General,"Можешь занять 500р до завтра? На обед не хватает, карту забыл. (Легитимная просьба от друга)",0
144,General,"Хахаха, жиза.",0
145,Work_IT,"Jenkins упал, билды не собираются. Кто-нибудь может рестартнуть?",0
146,General,Привет. Это Антон с конференции. Мы договаривались списаться насчет партнерства.,0
147,General,Ссылка на зум:,0
149,Crypto_Legit,"Как думаешь, стоит сейчас заходить или подождать коррекции?",0
150,General,Поздравляю с повышением! Заслуженно.,0
151,General,Ты дома? Я сейчас зайду.,0
152,Work_IT,"Давай перейдем в треды, чтобы чат не засорять.",0
153,General,"У меня телеграм глючит, сообщения не отправляются.",0
154,General,Вот ссылка на тот ресторан:,0
155,Crypto_Legit,"Транзакция прошла, вижу поступление. Спасибо.",0
156,Work_IT,"Настрой 2FA на гитхабе, это требование безопасности.",0
157,General,Можно тебя на пару слов?,0
158,General,"Я тебе на почту переслал письмо, посмотри плиз.",0
159,Work_Files,Архив с (пароля нет),0
160,General,Хороших выходных!,0
161,General,Привет! Есть вопрос по домашке. Ты сделал второе задание?,0
162,Work_IT,"PostgreSQL не стартует. Места на диске нет, походу.",0
163,Crypto_Legit,"Разбираюсь, как работают смарт-контракты на Solidity. Сложновато пока.",0
164,General,"Давай лучше в WhatsApp, там удобнее голосовые слушать.",0
165,General,Купи хлеб и молоко по дороге домой.,0
166,Work_IT,"Сделай, пожалуйста, бэкап базы перед обновлением.",0
167,General,"Слушай, а где ты кроссовки покупал? Классные.",0
168,General,"Я спать, всем пока.",0
169,Work_Files,Смета на ремонт,0
170,General,"Не забудь завтра паспорт, там пропускная система.",0
171,Crypto_Legit,Виталик Бутерин выложил новый роадмап. Выглядит амбициозно.,0
172,Work_IT,"У нас API лимиты превышены, надо тариф повышать.",0
173,General,"Привет, это курьер. Я у подъезда.",0
174,General,Классная аватарка!,0
175,General,"Позвони мне, как освободишься, дело есть.",0
176,Work_IT,"Frontend уже готов, ждем бэкенд.",0
177,General,"Случайно удалил переписку, продублируй файл, пожалуйста.",0
178,Crypto_Legit,"Комиссии в сети эфира сейчас конские, лучше подождать ночи.",0
179,General,"Мы в кино идем, ты с нами?",0
180,Work_IT,"Напиши доку к этому методу, а то непонятно, что он принимает на вход.",0
181,General,"Переведи мне по СБП, номер тот же.",0
182,Work_Files,(Отправка своих документов),0
183,General,Ура! Наконец-то пятница.,0
184,General,"Ты не знаешь, как отключить уведомления в этом канале?",0
185,Work_IT,"Слушай, а мы можем использовать эту библиотеку? У нее лицензия MIT?",0
186,Crypto_Legit,Я использую CoinMarketCap для отслеживания портфеля.,0
187,General,"Запиши меня к врачу, пожалуйста, я не успеваю.",0
188,General,Вот мой ник в Инсте: @my_nick,0
189,Work_IT,"Надо почистить кэш, тогда заработает.",0
190,General,"Извини, я занят, перезвоню позже.",0
192,General,Пришли ссылку на товар на Озоне.,0
193,Crypto_Legit,"Notcoin залистили на бирже, интересно какая цена будет.",0
194,Work_IT,"Код грязный, нужен рефакторинг.",0
195,General,Спасибо за помощь!,0
196,General,"У меня встреча перенеслась, могу встретиться раньше.",0
197,Work_IT,"Сервер пингуется, все ок.",0
198,General,Скинь трек-номер посылки.,0
199,Crypto_Legit,"NFT сейчас уже не так популярны, хайп прошел.",0
200,General,Пойдем кофе попьем?,0
201,Social_Eng,"Братан, выручай, кинь сотку на телефон, очень надо!",1
202,Social_Eng,"Привет, есть 500р до зарплаты? Срочно нужно.",1
203,Social_Eng,"Мам, телефон сломался. Скинь 2000 на карту друга, потом объясню.",1
204,Financial,Ваша карта заблокирована за подозрительные операции. Срочно перезвоните.,1
205,Social_Eng,"Голосуй за мою племянницу в конкурсе, она на 2 месте! Ссылка в профиле.",1
206,Financial,"Ошибочно перевел тебе 5000 рублей, верни пожалуйста на этот номер.",1
207,Social_Eng,"Это гендиректор. У нас утечка данных, сейчас с тобой свяжется куратор.",1
208,Social_Eng,"Кинь бабки на сбер, номер тот же. Очень срочно.",1
209,Social_Eng,"Привет, не можешь занять косарь? Вечером отдам.",1
210,Social_Eng,"Слушай, мне тут код пришел от телеграма, случайно твой номер указал. Скажи цифры.",1
211,Social_Eng,"Посмотри, это не ты на видео? Там жесть какая-то.",1
212,Social_Eng,Вы выиграли iPhone 15! Оплатите только доставку.,1
213,Social_Eng,"Срочный сбор на подарок начальнику, скидываемся по 2к.",1
214,Social_Eng,"Закинь мне на инет, плиз, отключили, а работать надо.",1
215,Social_Eng,"Привет, проголосуй за меня, не хватает пары голосов!",1
216,General,"Привет, погнали в кино сегодня вечером?",0
217,General,"Скинь мне фотки с вчерашнего дня, хочу посмотреть.",0
218,General,Ты сделал домашку по математике? Дай списать.,0
219,General,"Я буду через 15 минут, застрял в пробке.",0
220,General,"Мам, я покушал, все нормально.",0
221,General,Давай встретимся у метро в 18:00.,0
222,General,Ты смотрел новый выпуск на ютубе? Там ржака.,0
223,Work_IT,Когда будет готов отчет? Начальник спрашивает.,0
224,General,Не забудь купить молоко и хлеб по дороге.,0
225,General,С днем рождения! Желаю счастья и здоровья.,0
226,Work_IT,"Сервер перезагрузил, все должно работать.",0
227,General,Как дела? Давно не виделись.,0
228,General,"Скинь ссылку на ту статью, про которую ты говорил.",0
229,General,"Я сегодня не приду, заболел.",0
230,General,"Отличная аватарка, тебе идет!",0
231,Work_Scam,"Мы вас взломали, требуем выкуп 3000$! У вас 12 часов",1
232,Crypto_Scam,"Ты выиграл 1000$ в крипте",1 
233,Crypto_Scam,"Я инвестор, давай заработаем на бирже. Просто скинь 100$ под личное управление :)",1 
233,Financial_Scam,"Деньги будут",1
234,Gift_scam,"Привет можно купить твой подарок?",1
235,Gift_scam,"Привет, заинтересовался твоим подарком, за сколько продашь?",1
236,Financial_Scam,"Скинь денег, получишь в 2 раза больше!",1
237,IT_Malware,"Проверь мою программу пожалуйста",1
238,Financial_Scam,"Я нашел ваш кошелек с документами возле метро. Напишите мне, чтобы забрать.",1
239,Ham_IT,"Ребят, срочно! У нас база данных легла, клиенты не могут войти. Кто дежурный админ?",0
240,Ham_Finance,"Привет, я перевел тебе 1500р за вчерашний обед на Сбер. Пришли?",0
241,Ham_Link,"Вот ссылка на нашу встречу в Zoom: zoom.us/j/992211, заходи через 5 минут.",0
242,Ham_Crypto,"Слушай, ты видел курс Эфира? Он пробил 3000, нормально мы так зашли тогда.",0
243,Ham_Work,"Коллеги, ошибка в отчете исправлена. Ссылка на Google Doc та же, обновите страницу.",0
244,Ham_General,"Мам, срочно позвони бабушке, она трубку не берет, я волнуюсь.",0
245,Social_Eng,"Здравствуйте, я нашел пропуск на ваше имя возле офиса. Напишите, как вам его передать.",1
246,Ham_Finance,"Оплатил коммуналку и интернет, чек скинул в телеграм, чтобы не потерять.",0
247,Ham_IT,"Там в логах какая-то подозрительная активность, но это сканер портов, не взлом. Я забанил IP.",0
248,Ham_General,"Не переходи по ссылкам от Маши, её взломали. Мне тоже спам пришел.",0
249,Ham_Work,"Дедлайн горит! Срочно пришли макеты, заказчик ждет.",0
250,Ham_Crypto,"Я забыл сид-фразу от тестового кошелька, ну и ладно, там копейки были.",0
251,Social_Eng,"Привет! Это Аня. Я потеряла старый номер, это мой новый. Сохрани.",1
252,Ham_Link,"Посмотри этот репозиторий на Гитхабе: github.com/openai/..., там интересный код.",0
253,Ham_General,"Скинь номер карты, я тебе на подарок скину.",0
254,Ham_IT,"Настрой VPN, иначе не сможешь подключиться к рабочему столу.",0
255,Ham_Work,"У меня не открывается архив, пишет ""ошибка формата"". Можешь перезалить?",0
256,Ham_Finance,"Пришла зарплата? А то мне смс не пришло еще.",0
257,Social_Eng,"Вы выиграли в конкурсе репостов (3 место). Доставка приза за ваш счет.",1
258,Ham_Crypto,"Не советую сейчас торговать с плечом, рынок очень волатильный.",0
259,Ham_General,"Я случайно отправил тебе стикер, сорян.",0
260,Ham_Link,"Мы переехали на новый домен, теперь сайт доступен по адресу company-name.io.",0
261,Ham_Work,"Внимание! Завтра плановая проверка пожарной сигнализации.",0
262,Ham_General,"Слушай, можешь занять очередь в столовой? Я бегу.",0
263,Social_Eng,"Ваше резюме отобрано. Свяжитесь с HR-менеджером в телеграм: @fake_hr_contact",1
264,Ham_IT,"Я обновил драйвера, и все заработало. Ошибка исчезла.",0
265,Ham_Finance,"Возврат средств от магазина пришел, все ок.",0
266,Ham_Crypto,"Почитай про халвинг биткоина, это фундаментальное событие.",0
267,Ham_General,"У меня телефон садится, если что - я не на связи.",0
268,Ham_Work,"Проверь почту, я скинул договор на согласование.",0
269,Social_Eng,"Помогите, я застрял на трассе без бензина, скиньте 500р, я отдам при встрече.",1
270,Ham_Link,"Вот статья на Хабре, про которую я говорил: habr.com/ru/post/...",0
271,Ham_General,"Ты дома? Там курьер приехал, домофон не работает.",0
272,Ham_IT,"Сертификат безопасности истек, поэтому браузер ругается. Это наш внутренний сайт, можно заходить.",0
273,Ham_Finance,"Надо сегодня кредит оплатить, напомни мне вечером.",0
274,Ham_Crypto,"Я использую аппаратный кошелек, это безопаснее, чем хранить на бирже.",0
275,Social_Eng,"Смотри, это не ты на видео? [ссылка]",1
276,Ham_Work,"Срочно подпиши заявление на отпуск, а то в график не попадешь.",0
277,Ham_General,"Скинь ссылку на этот товар на Озоне, тоже хочу заказать.",0
278,Ham_IT,"Пароль от вайфая поменяли: SuperSecurePass2025.",0
279,Ham_Finance,"Я тебе сейчас по СБП кину, скажи банк.",0
280,Ham_Crypto,"Смарт-контракт прошел аудит, уязвимостей не найдено.",0
281,Social_Eng,"Администратор группы: Вы были выбраны победителем дня. Напишите в ЛС для получения бонуса.",1
282,Ham_Link,"Зайди на госуслуги, там штраф висит, лучше оплати сразу.",0
283,Ham_Work,"У нас корпоратив в пятницу, скидываемся по 2000р.",0
284,Ham_General,"Посмотри, какую я программу написал! Код ужасный, но работает.",0
285,Ham_IT,"Антивирус ругается на твой кряк, лучше удали его.",0
286,Social_Eng,"Добрый день. Я представляю службу безопасности. Нам поступил сигнал о взломе.",1
287,Ham_Finance,"Курс доллара опять скачет, надо было менять вчера.",0
288,Ham_General,"Привет, это доставка цветов. Вам просили передать букет, вы дома?",0
289,Ham_Crypto,"Блокчейн - это просто распределенная база данных, ничего магического.",0
290,Ham_Work,"Сбрось мне настройки подключения к базе, я переустановил винду.",0
291,Social_Eng,"Я нашел ваш телефон. Готов вернуть за вознаграждение.",1
292,Ham_Link,"Вот ссылка на видео с конференции: youtube.com/watch?v=...",0
293,Ham_General,"У тебя есть 100 рублей наличкой? Автомат карту не принимает.",0
294,Ham_IT,"Система мониторинга прислала алерт: высокая нагрузка на CPU.",0
295,Ham_Finance,"Спасибо, деньги пришли!",0
296,Social_Eng,"Привет, это я. У меня новый аккаунт, тот взломали. Скинь мой старый номер.",1
297,Ham_Work,"Коллеги, прошу ознакомиться с новым регламентом безопасности.",0
298,Ham_Crypto,"Не верь никому, кто обещает гарантированную доходность в крипте, это скам.",0
299,Ham_General,"Срочно иди сюда, тут такое происходит!",0
300,Social_Eng,"Вам доступна компенсация НДС. Проверьте сумму возврата.",1
301,Social_Eng,"Вход в VIP канал сегодня бесплатно, успей зайти!",1
302,General,"Привет, как дела?",0
302,General,"Привет, что делаешь? мб сходим куда?",0
303,Financial_Phishing,"Хочешь заработать денег?",1
304,TG_Phishing,"Привет! Поддержи пожалуйста мою племяшку в конкурсе детского рисунка. Она под номером 4. Голосовать тут: golos-deti.site",1
305,TG_Phishing,"Проголосуй за наш класс, нам чуть-чуть до победы не хватает! Ссылка на опрос: poll-class.ru",1
306,TG_Phishing,"Участвую в конкурсе фотографов, нужен твой голос. Авторизация через телеграм. Ссылка:",1
307,Crypto_Drainer,"Ваш кошелек не прошел верификацию AML. Активы будут заморожены через 24 часа. Пройдите проверку: wallet-verify.com",1
308,Crypto_Scam,"Заработок на арбитраже крипты. Связка дает 3-5% за круг. Обучаю бесплатно, пиши в ЛС.",1
309,Crypto_Phishing,"Airdrop NOTCOIN для активных пользователей! Клейм доступен только сегодня. Подключи Wallet: ...",1
310,Crypto_Social,"Привет, есть USDT? Нужно обменять на наличку, курьер привезет. Даю хороший курс.",1
311,Crypto_Malware,"Скрипт для автоматического участия в лаунчпадах Binance. Скачать: binance_bot.exe",1
312,Marketplace_Scam,"Авито Доставка: Покупатель оплатил товар. Получите средства по ссылке: avito-pay.ru/receive",1
313,Marketplace_Scam,"BlaBlaCar: Водитель подтвердил поездку. Для бронирования места оплатите комиссию сервиса по ссылке.",1
314,Marketplace_Scam,"Юла: Оформление заказа приостановлено. Техподдержка просит подтвердить баланс карты.",1
315,Work_Scam,"Менеджер Wildberries: Требуются сотрудники для удаленной работы. Оплата каждый день. Просто ставить лайки на товары.",1
316,TG_Phishing,"Служба поддержки: Ваш аккаунт будет удален через 24 часа из-за подозрительной активности. Отменить удаление: t.me/support_bot",1
